src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.15.144,192.168.15.33,5900,57785,dc:a6:32:97:64:ba,e0:d4:e8:de:59:72,6,2022-04-13 14:01:49,26143553.0,330535.48612921895,306.6530398526933,246.5234928091067,60.12954704358661,6445,1572,8550238,91134,1514.0,54.0,1326.6467028704421,474.7562619176427,66.0,54.0,57.97328244274809,3.726228972478824,1514,54,1077.8810028689036,659.4834196175801,434918.38075049734,128900,31440,20,5784,3261.4071856287424,388378.0,-104.0,19678.08165714985,26143553.0,388378.0,4.0,4057.038019863439,22301.658552251334,26134321.0,429343.0,5.0,16635.468491406747,46233.88256602187,0,0,0,0,1,0,0,0,0,0,0,0.2439100077579519,1077.8810028689036,502,8223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72667.87272727273,50.46363636363636,65.55932203389831,10.305084745762711,5126609.54803423,487.57287909894313,1326.6467028704421,57.97328244274809,0,6445,1572,8550238,91134
192.168.15.144,192.168.15.79,44298,1514,dc:a6:32:97:64:ba,d0:37:45:d7:a9:0b,6,2022-04-13 14:01:50,17806699.0,131.29890048683365,0.7862209609990038,0.3931104804995019,0.3931104804995019,7,7,1698,640,414.0,66.0,242.57142857142858,129.22500547810523,155.0,66.0,91.42857142857143,40.206101679283684,414,66,167.0,121.93792331697775,14868.857142857143,140,140,20,5,1369746.076923077,10013842.0,16.0,3106479.7752671866,17806699.0,10013842.0,3567.0,2967783.1666666665,4022444.411764005,17751038.0,10017150.0,447.0,2958506.3333333335,4029888.0253420463,0,0,0,0,1,0,0,0,0,0,0,1.0,167.0,501,501,0.0,0.0,0.0,0.0,7003440.0,3010402.0,5006921.0,1996519.0,0.0,0.0,0.0,0.0,0.0,0.0,242.57142857142858,91.42857142857143,0,7,7,1698,640
192.168.15.165,192.168.15.144,54935,1883,dc:a6:32:97:64:cf,dc:a6:32:97:64:ba,6,2022-04-13 14:01:54,20025698.0,26.965352218933894,0.29961502465482104,0.14980751232741052,0.14980751232741052,3,3,342,198,114.0,114.0,114.0,0.0,66.0,66.0,66.0,0.0,114,66,90.0,24.0,576.0,60,60,20,3,4005139.6,10015212.0,38.0,4905221.352395123,20025660.0,10015253.0,10010407.0,10012830.0,2423.0,20025647.0,10015250.0,10010397.0,10012823.5,2426.5,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,502,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,66.0,0,3,3,342,198
192.168.15.144,192.168.15.33,1883,57591,dc:a6:32:97:64:ba,e0:d4:e8:de:59:72,6,2022-04-13 14:01:54,20077899.0,38.848686309259755,0.4980600808879455,0.24903004044397276,0.24903004044397276,5,5,510,270,102.0,102.0,102.0,0.0,54.0,54.0,54.0,0.0,102,54,78.0,24.0,576.0,100,100,20,5,2230877.6666666665,8321551.0,52242.0,3310768.146110775,20025617.0,8373792.999999999,1641119.0,5006404.25,3365083.647919868,20023117.0,8373832.999999999,1640544.0,5005779.25,3364977.958133706,0,0,0,0,1,0,0,0,0,0,0,1.0,78.0,502,1025,0.0,0.0,0.0,0.0,6732733.0,1586337.0,5015902.666666667,2425069.71566322,0.0,0.0,0.0,0.0,0.0,0.0,102.0,54.0,0,5,5,510,270
192.168.15.253,192.168.15.144,41539,1883,dc:a6:32:97:64:2a,dc:a6:32:97:64:ba,6,2022-04-13 14:01:56,10011102.0,35.960077122378735,0.39955641247087487,0.19977820623543743,0.19977820623543743,2,2,228,132,114.0,114.0,114.0,0.0,66.0,66.0,66.0,0.0,114,66,90.0,24.0,576.0,40,40,20,2,3337034.0,10010897.0,28.0,4719133.784402034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,502,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,66.0,0,2,2,228,132
192.168.15.1,192.168.15.255,42034,7788,3c:7c:3f:af:ed:40,ff:ff:ff:ff:ff:ff,17,2022-04-13 14:01:57,0.0,0,0,0,0,1,0,102,0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,102,102,102.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,102.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0,1,0,102,0
