src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.65.40,140.116.82.53,36086,443,b4:e9:b0:c9:dc:80,a8:5e:45:3d:65:38,6,2022-04-26 10:04:51,9522564.0,2663.358314000305,8.611126163079609,3.255425744578876,5.355700418500732,31,51,3164,22198,109.0,66.0,102.06451612903226,15.81533654169772,1514.0,66.0,435.2549019607843,457.5826012708249,1514,66,309.2926829268293,395.50318329343565,156422.76799524095,620,1020,20,26,117562.51851851853,468901.0,1.0,144764.5975512507,8949303.0,705742.0,660.0,298310.1,277179.64263119444,9522523.0,468901.0,1.0,190450.46,153003.52734524914,0,0,0,0,1,0,0,0,0,0,0,1.6451612903225807,309.2926829268293,8078,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8396.0,7.0,0.0,1399566.5944324054,102.06451612903226,435.2549019607843,0,31,51,3164,22198
192.168.65.54,192.168.65.255,62988,28252,74:d0:2b:9a:42:cc,ff:ff:ff:ff:ff:ff,17,2022-04-26 10:04:51,9363084.0,17646.96332960379,16.554374605632074,16.554374605632074,0.0,155,0,165230,0,1066.0,1066.0,1066.0,0.0,0.0,0.0,0.0,0.0,1066,1066,1066.0,0.0,0.0,1240,0,8,155,60799.246753246756,319336.0,3.0,123501.8235957857,9363084.0,319336.0,3.0,60799.246753246756,123501.82359578568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1066.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158720.0,155.0,0.0,0.0,16951.679596167247,0.0,1066.0,0.0,0,155,0,165230,0
140.116.82.55,140.116.82.53,2049,637,00:11:32:17:94:ff,a8:5e:45:3d:65:38,6,2022-04-26 10:04:51,9611999.0,550899.3498646847,489.8044621103268,97.89847044303687,391.90599166729,941,3767,146514,5148730,1514.0,66.0,155.70031880977683,268.22928533450016,1514.0,66.0,1366.7985134058933,422.527205907888,1514,66,1124.733220050977,625.9357781171998,391795.5983271844,18820,75340,20,284,2042.0647971106862,1408829.0,0.0,30646.51532898819,9611939.0,1515803.0,1.0,10225.467021276596,77453.44331136745,9611926.0,1408829.0,0.0,2552.2904938927245,34249.8144124436,0,0,0,0,1,0,0,0,0,0,0,4.003188097768332,1124.733220050977,24576,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.4444444444443,7.5,50741.65957446808,37.96808510638298,13116202.270381836,70469321.11989363,155.70031880977683,1366.7985134058933,0,941,3767,146514,5148730
198.244.142.158,192.168.65.16,10799,39650,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-04-26 10:04:51,642110.0,4206.44437868901,20.245752285433962,10.901558922925979,9.344193362507982,7,6,1610,1091,696.0,66.0,230.0,212.7486780217447,675.0,66.0,181.83333333333334,222.77523550779955,696,66,207.76923076923077,218.7556254559847,47854.023668639056,140,120,20,4,53509.166666666664,289555.0,54.0,105055.26410722543,600126.0,289945.0,157.0,100021.0,132747.98631743283,641899.0,326339.0,262.0,128379.8,153873.13295751147,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,207.76923076923077,505,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,181.83333333333334,0,7,6,1610,1091
138.199.9.179,192.168.65.16,443,59552,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-04-26 10:04:51,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
198.244.142.158,192.168.65.16,10799,39648,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-04-26 10:04:51,570363.0,11994.116027862958,31.558849364352177,17.532694091306766,14.026155273045413,10,8,2797,4044,1296.0,66.0,279.7,393.4519157406658,1514.0,66.0,505.5,576.3464669797153,1514,66,380.05555555555554,496.2105816667201,246224.94135802466,200,160,20,3,33550.76470588235,276301.0,1.0,87296.452093211,570363.0,276852.0,23.0,63373.666666666664,112376.75103863789,285950.0,272719.0,1.0,40850.0,94743.84921159036,0,0,0,0,1,0,0,0,0,0,0,0.8,380.05555555555554,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402.0,5.0,0.0,7238297.872340426,279.7,505.5,0,10,8,2797,4044
192.168.65.18,192.168.65.13,34446,1514,00:0c:29:37:4e:18,00:0c:29:66:23:f6,6,2022-04-26 10:04:51,429.0,1372960.3729603728,6993.006993006993,4662.004662004661,2331.0023310023307,2,1,434,155,368.0,66.0,217.0,151.0,155.0,155.0,155.0,0.0,368,66,196.33333333333334,126.70788802947072,16054.88888888889,40,20,20,1,214.5,349.0,80.0,134.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,196.33333333333334,2587,843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,155.0,0,2,1,434,155
192.168.65.54,192.168.65.255,54915,54915,74:d0:2b:9a:42:cc,ff:ff:ff:ff:ff:ff,17,2022-04-26 10:04:51,9032077.0,337.6853408136357,1.1071650518479859,1.1071650518479859,0.0,10,0,3050,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,80,0,8,10,1003564.1111111111,1020458.0,988579.0,8610.047443983936,9032077.0,1020458.0000000001,988579.0,1003564.1111111111,8610.04744398398,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,10,0,3050,0
192.168.65.21,192.168.65.255,54915,54915,d8:bb:c1:58:a5:58,ff:ff:ff:ff:ff:ff,17,2022-04-26 10:04:51,8999865.0,338.8939722984734,1.1111277780277815,1.1111277780277815,0.0,10,0,3050,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,80,0,8,10,999985.0,1003090.0,997629.0,1933.4797071026574,8999865.0,1003090.0,997629.0,999985.0,1933.4797071026571,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,10,0,3050,0
47.243.241.234,140.116.82.53,46269,2375,b4:e9:b0:c9:dc:80,a8:5e:45:3d:65:38,6,2022-04-26 10:04:52,0.0,0,0,0,0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,60,0
